"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",77.729232725315,77.53805,74.9347804492594,20000,0.95,-6.23663,161.056,NA,NA,NA,NA,NA,NA,NA
"sigma",289.21909155,286.593,278.581867500292,19144.4,0.95,217.163,371.096,NA,NA,NA,NA,NA,NA,NA
"nu",1.4791715151,1.44932,1.41544336374567,19526.4,0.95,0.969806,2.07055,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.161892056432245,0.161164285326797,0.155940923278904,20000,0.95,-0.00278841716749501,0.323639800524119,NA,NA,NA,NA,NA,NA,NA
"effSz",0.272086776289974,0.269517200505776,0.253176176941024,20000,0.95,-0.0175355028511241,0.576115830792958,NA,NA,NA,NA,NA,NA,NA
