"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",0.05944441384,0.0594854,0.0593005871520472,17942.9,0.95,0.051447,0.0671524,NA,NA,NA,NA,NA,NA,NA
"sigma",0.03218534279,0.0318036,0.0317408512603167,10121.7,0.95,0.022944,0.042192,NA,NA,NA,NA,NA,NA,NA
"nu",4.34599249975,3.47849,2.91835348423221,2478.4,0.95,1.29599,9.05834,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.570599294518422,0.541390759164922,0.500585352487471,6743.5,0.95,0.201353419532058,0.995111971439927,NA,NA,NA,NA,NA,NA,NA
"effSz",1.89393311683429,1.87274776891058,1.83122918176605,12292.4,0.95,1.25152119977269,2.5657757889861,NA,NA,NA,NA,NA,NA,NA
