"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu",2.726474111,2.714635,2.72406466328281,18846.6,0.95,2.18524,3.31271,NA,NA,NA,NA,NA,NA,NA
"sigma",1.86084352005,1.83781,1.78974345410954,17658,0.95,1.21812,2.58511,NA,NA,NA,NA,NA,NA,NA
"nu",0.87702060215,0.8649475,0.823485147282751,17438,0.95,0.587847,1.18522,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",-0.0636868095914205,-0.0630102522650955,-0.0579013927083465,17609,0.95,-0.213362843557672,0.0855545718610106,NA,NA,NA,NA,NA,NA,NA
"effSz",1.51136235160636,1.48979084786111,1.4381831161314,18736.9,0.95,0.971711977827617,2.09375020828196,NA,NA,NA,NA,NA,NA,NA
